Company,ProductTypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,class_name
HP,Gaming,Gaming,Full_HD,Intel_Core_i7,Other,HDD,Nvidia,Windows_10,Heavy,High
HP,Notebook,Standard,1366_768,Intel_Core_i7,Other,HDD,Intel,Windows_10,Medium,Low
Lenovo,Netbook,Standard,Other,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,4GB,HDD,Intel,Other,Medium,Low
Lenovo,Notebook,Gaming,Full_HD,Intel_Core_i3,4GB,HDD,Intel,Other,Heavy,Low
Asus,Notebook,Standard,1366_768,Intel_Core_i7,4GB,HDD,Nvidia,Windows_10,Medium,Low
Lenovo,Netbook,Small,Other,Intel_Celeron,4GB,SSD,Intel,Windows_10,Light,Low
Asus,Notebook,Standard,Other,Intel_Core_i7,8GB,SSD_HDD,Nvidia,Windows_10,Medium,Mid_Range
Acer,Notebook,Standard,1366_768,AMD,Other,HDD,AMD,Windows_10,Medium,Low
Other,Notebook,Standard,1366_768,Intel_Core_i5,8GB,HDD,Intel,Windows_10,Medium,Low
Dell,Notebook,Gaming,Full_HD,Intel_Core_i7,16GB,SSD_HDD,AMD,Windows_10,Heavy,Mid_Range
HP,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,HDD,Nvidia,Windows_10,Medium,Mid_Range
HP,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Heavy,High
Lenovo,Netbook,Standard,Full_HD_Touchscreen,Intel_Core_i7,4GB,SSD,Intel,Windows_10,Medium,Low
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Nvidia,Windows_10,Medium,Mid_Range
Lenovo,Netbook,Small,Other,Intel_Other,4GB,Flash_Storage,Intel,Other,Light,Low
Other,Gaming,Gaming,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
Lenovo,Netbook,Small,Other,Intel_Core_i7,16GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i3,4GB,HDD,Intel,Windows_10,Medium,Low
Asus,Notebook,Standard,1366_768,Intel_Core_i5,4GB,SSD,Intel,Windows_10,Medium,Low
Dell,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD,Nvidia,Windows_10,Medium,High
Asus,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD_HDD,Intel,Windows_10,Medium,Mid_Range
Lenovo,Notebook,Standard,Full_HD,AMD,Other,HDD,AMD,Windows_10,Heavy,Low
Acer,Notebook,Standard,1366_768,Intel_Celeron,4GB,HDD,Intel,Other,Heavy,Low
Lenovo,Netbook,Standard,Other,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
Dell,Netbook,Standard,Full_HD_Touchscreen,Intel_Core_i7,Other,SSD,Intel,Windows_10,Medium,Mid_Range
Dell,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
Other,Notebook,Standard,Full_HD,Intel_Other,4GB,Flash_Storage,Intel,Windows_10,Medium,Low
HP,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD_HDD,Nvidia,Windows_10,Medium,Mid_Range
Acer,Notebook,Small,1366_768,Intel_Core_i5,4GB,SSD,Intel,Windows_10,Light,Low
Acer,Notebook,Standard,Full_HD,Intel_Core_i5,Other,SSD_HDD,Nvidia,Windows_10,Heavy,Mid_Range
Lenovo,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD,Nvidia,Other,Medium,High
Lenovo,Notebook,Standard,Full_HD,AMD,Other,SSD,AMD,Windows_10,Medium,Low
Asus,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
Other,Ultrabook,Small,Other,Intel_Core_i5,8GB,SSD,Intel,Other,Light,High
Dell,Notebook,Standard,1366_768,Intel_Core_i3,4GB,HDD,Intel,Windows_10,Medium,Low
Dell,Gaming,Gaming,Full_HD,Intel_Core_i7,Other,SSD_HDD,Nvidia,Windows_10,Heavy,High
Dell,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Other,Medium,Mid_Range
Acer,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,HDD,Nvidia,Windows_10,Medium,Low
Asus,Notebook,Standard,Full_HD,Intel_Core_i3,4GB,HDD,Intel,Other,Medium,Low
HP,Notebook,Standard,1366_768,Intel_Core_i3,4GB,HDD,Intel,Windows_10,Medium,Low
Asus,Notebook,Standard,1366_768,Intel_Celeron,4GB,SSD,Intel,Windows_10,Medium,Low
Dell,Ultrabook,Small,Full_HD_Touchscreen,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,Other,SSD,Intel,Windows_10,Medium,Low
Other,Gaming,Standard,Full_HD,Intel_Core_i7,8GB,SSD_HDD,Nvidia,Windows_10,Heavy,Mid_Range
HP,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,HDD,Intel,Windows_10,Light,Mid_Range
HP,Notebook,Standard,1366_768,AMD,4GB,HDD,AMD,Windows_10,Medium,Low
Other,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
HP,Notebook,Standard,Full_HD,AMD,4GB,SSD,AMD,Windows_10,Medium,Low
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Nvidia,Windows_10,Heavy,Mid_Range
HP,Netbook,Small,Other,Intel_Celeron,4GB,Flash_Storage,Intel,Other,Light,Low
Lenovo,Gaming,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Nvidia,Windows_10,Heavy,High
Other,Ultrabook,Standard,1366_768,Intel_Core_i5,4GB,SSD,Intel,Windows_10,Light,Mid_Range
Lenovo,Netbook,Small,Other,Intel_Core_i7,16GB,SSD,Intel,Windows_10,Light,High
Lenovo,Notebook,Standard,1366_768,Intel_Core_i3,8GB,HDD,Nvidia,Other,Medium,Low
